name,category,lat,lng,...,size,...,payment type,milk type,latte price,...,min card spend y/n,min card spend figure,...,bus,coach,tube,rail,...,notes,
CSM,cafe,51.53593,-0.124967,...,ual,...,card,5,3,...,na,na,...,na,na,na,na,...,na,
Wildcard,cafe,51.53563,-0.12509,...,independent,...,contactless,4,3.9,...,na,na,...,na,na,na,na,...,na,
Redemption Roasters,cafe,51.53592,-0.12614,...,regional chain,...,contactless,4,4.29,...,na,na,...,na,na,na,na,...,na,
Midnight Pantry,cafe,51.53590321198968, -0.1260120444212757,...,regional chain,...,contactless,3,5,...,na,na,...,na,na,na,na,...,Thai Green Tea Oat Latte,
Longboys,cafe,51.5356301183622, -0.12692051558498837,...,regional chain,...,contactless,2,3.6,...,na,na,...,na,na,na,na,...,na,
Vermuteria,cafe,51.53680386860618, -0.12641749908242078,...,independent,...,cash accepted,3,3.6,...,na,na,...,na,na,na,na,...,na,
Matchado,cafe,51.53534,-0.1262,...,independent,...,contactless,4,5,...,na,na,...,na,na,na,na,...,matcha,
London Wildlife Trust,cafe,51.5356,-0.12774,...,independent,...,contactless,4,3.4,...,na,na,...,na,na,na,na,...,na,
Benugo,cafe,51.5302,-0.1234,...,chain,...,contactless,4,4.2,...,na,na,...,na,na,na,na,...,na,
Starbucks,cafe,51.53227,-0.12628,...,chain,...,cash accepted,5,4,...,na,na,...,na,na,na,na,...,na,
Pret A Manger,cafe,51.53147,-0.12615,...,chain,...,cash accepted,5,4,...,na,na,...,na,na,na,na,...,na,
GAIL's,cafe,51.53253,-0.12675,...,chain,...,contactless,4,4.3,...,na,na,...,na,na,na,na,...,na,
EL&N,cafe,51.53191,-0.12671,...,chain,...,cash accepted,5,3,...,na,na,...,na,na,na,na,...,na,
Le Pain Quotidien,cafe,51.53074,-0.12625,...,independent,...,cash accepted,6,3.9,...,na,na,...,na,na,na,na,...,"used to be local chain, now just independent?",
bread&truffle.,cafe,51.53099,-0.12586,...,regional chain,...,contactless,1,3.7,...,na,na,...,na,na,na,na,...,na,
PAUL Le Café,cafe,51.53095,-0.1264,...,chain,...,contactless,5,3.9,...,na,na,...,na,na,na,na,...,na,
Blank Street,cafe,51.53069,-0.12532,...,chain,...,contactless,2,3.8,...,na,na,...,na,na,na,na,...,na,
Aux Merveilleux de Fred,cafe,51.53085,-0.12558,...,regional chain,...,contactless,3,3.5,...,na,na,...,na,na,na,na,...,na,
Benugo,cafe,51.53052,-0.12599,...,chain,...,contactless,4,4.2,...,na,na,...,na,na,na,na,...,na,
Pret A Manger,cafe,51.53061,-0.12607,...,chain,...,cash accepted,5,4,...,na,na,...,na,na,na,na,...,na,
Costa,cafe,51.53066,-0.12608,...,chain,...,cash accepted,4,4,...,na,na,...,na,na,na,na,...,na,
Joe & The Juice,cafe,51.53273,-0.12699,...,chain,...,contactless,6,4.3,...,na,na,...,na,na,na,na,...,na,
After School Cookie Club,cafe,51.53464,-0.12472,...,regional chain,...,cash accepted,1,3.5,...,na,na,...,na,na,na,na,...,exact cash only,
News & Coffee,cafe,51.53538,-0.12527,...,regional chain,...,contactless,2,3.7,...,na,na,...,na,na,na,na,...,na,
Carhartt Coffee,cafe,51.53388,-0.12481,...,chain,...,contactless,4,3.4,...,na,na,...,na,na,na,na,...,na,
Pret A Manger,cafe,51.53169,-0.12454,...,chain,...,cash accepted,5,4,...,na,na,...,na,na,na,na,...,na,
Starbucks,cafe,51.53138,-0.12416,...,chain,...,cash accepted,5,4,...,na,na,...,na,na,na,na,...,na,
Cafe Hermanos,cafe,51.53126,-0.12494,...,regional chain,...,contactless,4,4.1,...,na,na,...,na,na,na,na,...,na,
Café Nero,cafe,51.53214,-0.12439,...,chain,...,contactless,4,3.9,...,na,na,...,na,na,na,na,...,na,
The Pasty Shop,cafe,51.53168,-0.12395,...,regional chain,...,cash accepted,3,4.2,...,na,na,...,na,na,na,na,...,na,
Pret A Manger,cafe,51.53067,-0.12341,...,chain,...,cash accepted,5,4,...,na,na,...,na,na,na,na,...,na,
Costa,cafe,51.53215,-0.12221,...,chain,...,cash accepted,4,4,...,na,na,...,na,na,na,na,...,na,
Tesco Express,cs,51.53213,-0.12109,...,supermarket subsidiary,...,na,na,na,...,N ,0,...,na,na,na,na,...,na,
ikoi,cafe,51.53343,-0.11876,...,independent,...,contactless,4,3.6,...,na,na,...,na,na,na,na,...,na,
Lyca Mobile,cs,51.53311,-0.11899,...,franchise,...,na,na,na,...,Y,3,...,na,na,na,na,...,na,
Frothee,cafe,51.5325,-0.11994,...,independent,...,contactless,5,3.9,...,na,na,...,na,na,na,na,....,na,
Express Food Store,cs,51.53663,-0.12194,...,independent,...,na,na,na,...,Y,1,...,na,na,na,na,...,na,
Café Express,cafe,51.53669,-0.12195,...,independent,...,cash accepted,2,2.7,...,na,na,...,na,na,na,na,...,na,
Alma,cafe,51.53901,-0.12349,...,regional chain,...,contactless,4,3.7,...,na,na,...,na,na,na,na,...,na,
Supermarket,cafe,51.53326,-0.1301,...,independent,...,na,na,na,...,na,na,...,na,na,na,na,...,closed,
M&S Simply Food,cs,51.53135,-0.12469,...,supermarket subsidiary,...,na,na,na,...,N,0,...,na,na,na,na,...,na,
Little Waitrose,cs,51.5323,-0.1239,...,supermarket subsidiary,...,na,na,na,...,N,0,...,na,na,na,na,...,na,
Sainsbury's Local,cs,51.5312,-0.12054,...,supermarket subsidiary,...,na,na,na,...,N,0,...,na,na,na,na,...,na,
M&S Simply Food,cs,51.53072,-0.12585,...,supermarket subsidiary,...,na,na,na,...,N,0,...,na,na,na,na,...,na,
St Pancras International (Stop S),public transport ,51.53141191,-0.127108159,...,bus stop,...,na,na,na,...,na,na,...,4,0,0,0,...,na,
London Kings Cross,public transport ,51.53174482,-0.127249853,...,bus stop,...,na,na,na,...,na,na,...,0,1,0,0,...,na,
Chenies Place,public transport ,51.53411533,-0.129556832,...,bus stop,...,na,na,na,...,na,na,...,2,0,0,0,...,na,
Chenies Place,public transport ,51.53461498,-0.130014491,...,bus stop,...,na,na,na,...,na,na,...,2,0,0,0,...,na,
St Pancras International (Stop M),public transport ,51.53002133,-0.124561966,...,bus stop,...,na,na,na,...,na,na,...,3,0,0,0,...,na,
Kings Cross St Pancras (Stop T),public transport ,51.53069697,-0.124714218,...,bus stop,...,na,na,na,...,na,na,...,2,1,0,0,...,na,ignore coach
Kings Cross St Pancras (Stop D),public transport ,"51.530557623879965,",-0.123240113,...,bus stop,...,na,na,na,...,na,na,...,3,0,0,0,...,na,
Kings Cross St Pancras (Stop E),public transport ,51.53065415,-0.122949813,...,bus stop,...,na,na,na,...,na,na,...,6,0,0,0,...,na,
Kings Cross / York Way (Stop G),public transport ,51.53150105,-0.122616561,...,bus stop,...,na,na,na,...,na,na,...,5,0,0,0,...,na,
Wharfdale Road / London Canal Museum,public transport ,51.53369965,-0.121394103,...,bus stop,...,na,na,na,...,na,na,...,6,0,0,0,...,na,
Kings Cross / Pentonville Road (Stop H),public transport ,51.53163215,-0.120738331,...,bus stop,...,na,na,na,...,na,na,...,6,0,0,0,...,na,
Kings Cross / Caledonian Road (Stop X),public transport ,51.53109967,-0.120546478,...,bus stop,...,na,na,na,...,na,na,...,7,0,0,0,...,na,
Kings Cross Station (Stop R),public transport ,"51.53065899041018,",-0.121712357,...,bus stop,...,na,na,na,...,na,na,...,8,0,0,0,...,na,
Killick Street (Stop S),public transport ,51.53394369,-0.118193588,...,bus stop,...,na,na,na,...,na,na,...,4,0,0,0,...,na,
Killick Street (Stop K),public transport ,51.53421473,-0.118115157,...,bus stop,...,na,na,na,...,na,na,...,4,0,0,0,...,na,
Goods Way (Stop D),public transport ,51.53457849,-0.122435915,...,bus stop,...,na,na,na,...,na,na,...,1,0,0,0,...,na,
York Way / Kings Place (Stop C),public transport ,51.5360718,-0.122175415,...,bus stop,...,na,na,na,...,na,na,...,1,0,0,0,...,na,
Copenhagen Street / York way (Stop E),public transport ,51.53617281,-0.122409971,...,bus stop,...,na,na,na,...,na,na,...,1,0,0,0,...,na,
Randells Road (Stop B),public transport ,51.53813476,-0.122566881,...,bus stop,...,na,na,na,...,na,na,...,1,0,0,0,...,na,
Randells Road (Stop F),public transport ,"51.539382642013635,",-0.124444427,...,bus stop,...,na,na,na,...,na,na,...,1,0,0,0,...,na,
St Pancras International,public transport ,51.53063466310992,-0.1255576357496757,...,rail station,...,na,na,na,...,na,na,...,0,0,0,5,...,"4 national, 1 international",
Kings Cross,public transport , 51.5324461548783865, -0.12327768167422093,,rail station,...,na,na,na,...,na,na,...,0,0,0,6,...,na,
Kings Cross St Pancras,public transport ,51.53100745187257,-0.12336663265458236,tube station,...,na,na,na,...,na,na,...,0,0,7,0,...,na,
York Road ,public transport ,51.53856291,-0.122569251,,tube station,...,na,na,na,...,na,na,...,na,na,na,na,...,closed,
,,,,,,,,,,,,,,,,,,,,
